,location,date,iso_code,total_cases,new_cases,total_deaths,new_deaths,population,total_cases_per_million,new_cases_per_million,total_cases_per_hundred,country,people_vaccinated,daily_vaccinations,people_vaccinated_per_hundred
11088,Bangladesh,2020-03-03,BGD,,,,,166303494.0,,,,,,,
11089,Bangladesh,2020-03-04,BGD,,,,,166303494.0,,,,,,,
11090,Bangladesh,2020-03-05,BGD,,,,,166303494.0,,,,,,,
11091,Bangladesh,2020-03-06,BGD,,,,,166303494.0,,,,,,,
11092,Bangladesh,2020-03-07,BGD,,,,,166303494.0,,,,,,,
11093,Bangladesh,2020-03-08,BGD,3.0,3.0,,,166303494.0,0.018,0.018,1.8039308302205606e-06,,,,
11094,Bangladesh,2020-03-09,BGD,3.0,0.0,,,166303494.0,0.018,0.0,1.8039308302205606e-06,,,,
11095,Bangladesh,2020-03-10,BGD,3.0,0.0,,,166303494.0,0.018,0.0,1.8039308302205606e-06,,,,
11096,Bangladesh,2020-03-11,BGD,3.0,0.0,,,166303494.0,0.018,0.0,1.8039308302205606e-06,,,,
11097,Bangladesh,2020-03-12,BGD,3.0,0.0,,,166303494.0,0.018,0.0,1.8039308302205606e-06,,,,
11098,Bangladesh,2020-03-13,BGD,3.0,0.0,,,166303494.0,0.018,0.0,1.8039308302205606e-06,,,,
11099,Bangladesh,2020-03-14,BGD,3.0,0.0,,,166303494.0,0.018,0.0,1.8039308302205606e-06,,,,
11100,Bangladesh,2020-03-15,BGD,5.0,2.0,,,166303494.0,0.03,0.012,3.0065513837009342e-06,,,,
11101,Bangladesh,2020-03-16,BGD,8.0,3.0,,,166303494.0,0.048,0.018,4.810482213921495e-06,,,,
11102,Bangladesh,2020-03-17,BGD,10.0,2.0,,,166303494.0,0.06,0.012,6.0131027674018685e-06,,,,
11103,Bangladesh,2020-03-18,BGD,14.0,4.0,1.0,1.0,166303494.0,0.084,0.024,8.418343874362616e-06,,,,
11104,Bangladesh,2020-03-19,BGD,17.0,3.0,1.0,0.0,166303494.0,0.102,0.018,1.0222274704583175e-05,,,,
11105,Bangladesh,2020-03-20,BGD,20.0,3.0,1.0,0.0,166303494.0,0.12,0.018,1.2026205534803737e-05,,,,
11106,Bangladesh,2020-03-21,BGD,25.0,5.0,2.0,1.0,166303494.0,0.15,0.03,1.503275691850467e-05,,,,
11107,Bangladesh,2020-03-22,BGD,27.0,2.0,2.0,0.0,166303494.0,0.162,0.012,1.6235377471985045e-05,,,,
11108,Bangladesh,2020-03-23,BGD,33.0,6.0,3.0,1.0,166303494.0,0.198,0.036,1.9843239132426164e-05,,,,
11109,Bangladesh,2020-03-24,BGD,39.0,6.0,4.0,1.0,166303494.0,0.235,0.036,2.3451100792867287e-05,,,,
11110,Bangladesh,2020-03-25,BGD,39.0,0.0,5.0,1.0,166303494.0,0.235,0.0,2.3451100792867287e-05,,,,
11111,Bangladesh,2020-03-26,BGD,44.0,5.0,5.0,0.0,166303494.0,0.265,0.03,2.645765217656822e-05,,,,
11112,Bangladesh,2020-03-27,BGD,48.0,4.0,5.0,0.0,166303494.0,0.289,0.024,2.886289328352897e-05,,,,
11113,Bangladesh,2020-03-28,BGD,48.0,0.0,5.0,0.0,166303494.0,0.289,0.0,2.886289328352897e-05,,,,
11114,Bangladesh,2020-03-29,BGD,48.0,0.0,5.0,0.0,166303494.0,0.289,0.0,2.886289328352897e-05,,,,
11115,Bangladesh,2020-03-30,BGD,49.0,1.0,5.0,0.0,166303494.0,0.295,0.006,2.9464203560269153e-05,,,,
11116,Bangladesh,2020-03-31,BGD,51.0,2.0,5.0,0.0,166303494.0,0.307,0.012,3.0666824113749526e-05,,,,
11117,Bangladesh,2020-04-01,BGD,54.0,3.0,6.0,1.0,166303494.0,0.325,0.018,3.247075494397009e-05,,,,
11118,Bangladesh,2020-04-02,BGD,56.0,2.0,6.0,0.0,166303494.0,0.337,0.012,3.367337549745046e-05,,,,
11119,Bangladesh,2020-04-03,BGD,61.0,5.0,6.0,0.0,166303494.0,0.367,0.03,3.66799268811514e-05,,,,
11120,Bangladesh,2020-04-04,BGD,70.0,9.0,8.0,2.0,166303494.0,0.421,0.054,4.209171937181308e-05,,,,
11121,Bangladesh,2020-04-05,BGD,88.0,18.0,9.0,1.0,166303494.0,0.529,0.108,5.291530435313644e-05,,,,
11122,Bangladesh,2020-04-06,BGD,123.0,35.0,12.0,3.0,166303494.0,0.74,0.21,7.396116403904299e-05,,,,
11123,Bangladesh,2020-04-07,BGD,164.0,41.0,17.0,5.0,166303494.0,0.986,0.247,9.861488538539064e-05,,,,
11124,Bangladesh,2020-04-08,BGD,218.0,54.0,20.0,3.0,166303494.0,1.311,0.325,0.0001310856403293607,,,,
11125,Bangladesh,2020-04-09,BGD,330.0,112.0,21.0,1.0,166303494.0,1.984,0.673,0.00019843239132426166,,,,
11126,Bangladesh,2020-04-10,BGD,424.0,94.0,27.0,6.0,166303494.0,2.55,0.565,0.00025495555733783925,,,,
11127,Bangladesh,2020-04-11,BGD,482.0,58.0,30.0,3.0,166303494.0,2.898,0.349,0.00028983155338877,,,,
11128,Bangladesh,2020-04-12,BGD,621.0,139.0,34.0,4.0,166303494.0,3.734,0.836,0.00037341368185565604,,,,
11129,Bangladesh,2020-04-13,BGD,803.0,182.0,39.0,5.0,166303494.0,4.829,1.094,0.00048285215222237,,,,
11130,Bangladesh,2020-04-14,BGD,1012.0,209.0,46.0,7.0,166303494.0,6.085,1.257,0.0006085260000610691,,,,
11131,Bangladesh,2020-04-15,BGD,1231.0,219.0,50.0,4.0,166303494.0,7.402,1.317,0.00074021295066717,,,,
11132,Bangladesh,2020-04-16,BGD,1572.0,341.0,60.0,10.0,166303494.0,9.453,2.05,0.0009452597550355737,,,,
11133,Bangladesh,2020-04-17,BGD,1838.0,266.0,75.0,15.0,166303494.0,11.052,1.599,0.0011052082886484635,,,,
11134,Bangladesh,2020-04-18,BGD,2144.0,306.0,84.0,9.0,166303494.0,12.892,1.84,0.0012892092333309606,,,,
11135,Bangladesh,2020-04-19,BGD,2456.0,312.0,91.0,7.0,166303494.0,14.768,1.876,0.0014768180396738987,,,,
11136,Bangladesh,2020-04-20,BGD,2948.0,492.0,101.0,10.0,166303494.0,17.727,2.958,0.0017726626958300708,,,,
11137,Bangladesh,2020-04-21,BGD,3382.0,434.0,110.0,9.0,166303494.0,20.336,2.61,0.0020336313559353118,,,,
11138,Bangladesh,2020-04-22,BGD,3772.0,390.0,120.0,10.0,166303494.0,22.681,2.345,0.0022681423638639844,,,,
11139,Bangladesh,2020-04-23,BGD,4186.0,414.0,127.0,7.0,166303494.0,25.171,2.489,0.002517084818434422,,,,
11140,Bangladesh,2020-04-24,BGD,4689.0,503.0,131.0,4.0,166303494.0,28.195,3.025,0.002819543887634736,,,,
11141,Bangladesh,2020-04-25,BGD,4998.0,309.0,140.0,9.0,166303494.0,30.053,1.858,0.003005348763147454,,,,
11142,Bangladesh,2020-04-26,BGD,5416.0,418.0,145.0,5.0,166303494.0,32.567,2.513,0.003256696458824852,,,,
11143,Bangladesh,2020-04-27,BGD,5913.0,497.0,152.0,7.0,166303494.0,35.555,2.989,0.0035555476663647247,,,,
11144,Bangladesh,2020-04-28,BGD,6462.0,549.0,155.0,3.0,166303494.0,38.857,3.301,0.0038856670082950875,,,,
11145,Bangladesh,2020-04-29,BGD,7103.0,641.0,163.0,8.0,166303494.0,42.711,3.854,0.004271106895685547,,,,
11146,Bangladesh,2020-04-30,BGD,7667.0,564.0,168.0,5.0,166303494.0,46.102,3.391,0.0046102458917670125,,,,
11147,Bangladesh,2020-05-01,BGD,8238.0,571.0,170.0,2.0,166303494.0,49.536,3.433,0.0049535940597856595,,,,
11148,Bangladesh,2020-05-02,BGD,8790.0,552.0,175.0,5.0,166303494.0,52.855,3.319,0.005285517332546242,,,,
11149,Bangladesh,2020-05-03,BGD,9455.0,665.0,177.0,2.0,166303494.0,56.854,3.999,0.0056853886665784665,,,,
11150,Bangladesh,2020-05-04,BGD,10143.0,688.0,182.0,5.0,166303494.0,60.991,4.137,0.006099090136975715,,,,
11151,Bangladesh,2020-05-05,BGD,10929.0,786.0,183.0,1.0,166303494.0,65.717,4.726,0.0065717200144935015,,,,
11152,Bangladesh,2020-05-06,BGD,11719.0,790.0,186.0,3.0,166303494.0,70.468,4.75,0.007046755133118249,,,,
11153,Bangladesh,2020-05-07,BGD,12425.0,706.0,199.0,13.0,166303494.0,74.713,4.245,0.007471280188496822,,,,
11154,Bangladesh,2020-05-08,BGD,13134.0,709.0,206.0,7.0,166303494.0,78.976,4.263,0.007897609174705614,,,,
11155,Bangladesh,2020-05-09,BGD,13770.0,636.0,214.0,8.0,166303494.0,82.8,3.824,0.008280042510712373,,,,
11156,Bangladesh,2020-05-10,BGD,14657.0,887.0,228.0,14.0,166303494.0,88.134,5.334,0.008813404726180918,,,,
11157,Bangladesh,2020-05-11,BGD,15691.0,1034.0,239.0,11.0,166303494.0,94.352,6.218,0.009435159552330272,,,,
11158,Bangladesh,2020-05-12,BGD,16660.0,969.0,250.0,11.0,166303494.0,100.178,5.827,0.010017829210491512,,,,
11159,Bangladesh,2020-05-13,BGD,17822.0,1162.0,269.0,19.0,166303494.0,107.166,6.987,0.010716551752063609,,,,
11160,Bangladesh,2020-05-14,BGD,18863.0,1041.0,283.0,14.0,166303494.0,113.425,6.26,0.011342515750150144,,,,
11161,Bangladesh,2020-05-15,BGD,20065.0,1202.0,298.0,15.0,166303494.0,120.653,7.228,0.012065290702791848,,,,
11162,Bangladesh,2020-05-16,BGD,20995.0,930.0,314.0,16.0,166303494.0,126.245,5.592,0.012624509260160222,,,,
11163,Bangladesh,2020-05-17,BGD,22268.0,1273.0,328.0,14.0,166303494.0,133.9,7.655,0.013389977242450479,,,,
11164,Bangladesh,2020-05-18,BGD,23870.0,1602.0,349.0,21.0,166303494.0,143.533,9.633,0.01435327630578826,,,,
11165,Bangladesh,2020-05-19,BGD,25121.0,1251.0,370.0,21.0,166303494.0,151.055,7.522,0.015105515461990234,,,,
11166,Bangladesh,2020-05-20,BGD,26738.0,1617.0,386.0,16.0,166303494.0,160.778,9.723,0.016077834179479115,,,,
11167,Bangladesh,2020-05-21,BGD,28511.0,1773.0,408.0,22.0,166303494.0,171.44,10.661,0.017143957300139467,,,,
11168,Bangladesh,2020-05-22,BGD,30205.0,1694.0,432.0,24.0,166303494.0,181.626,10.186,0.018162576908937345,,,,
11169,Bangladesh,2020-05-23,BGD,32078.0,1873.0,452.0,20.0,166303494.0,192.888,11.263,0.01928883105727171,,,,
11170,Bangladesh,2020-05-24,BGD,33610.0,1532.0,480.0,28.0,166303494.0,202.1,9.212,0.020210038401237678,,,,
11171,Bangladesh,2020-05-25,BGD,35585.0,1975.0,501.0,21.0,166303494.0,213.976,11.876,0.021397626197799547,,,,
