,iso_code,location,date,total_cases,total_deaths,population,total_cases_per_million,total_cases_per_hundred
0,FRO,Faeroe Islands,2022-03-05,34658.0,28.0,49053.0,706541.904,70.65419036552301
1,AND,Andorra,2022-03-05,38434.0,151.0,77354.0,496858.598,49.68585981332575
2,DNK,Denmark,2022-03-05,2853236.0,4830.0,5813302.0,490811.59,49.0811590383572
3,GIB,Gibraltar,2022-03-05,15622.0,101.0,33691.0,463684.664,46.36846635600012
4,SVN,Slovenia,2022-03-05,902744.0,6351.0,2078723.0,434278.16,43.42781601973904
5,SMR,San Marino,2022-03-05,14487.0,112.0,34010.0,425962.952,42.59629520729197
6,GEO,Georgia,2022-03-05,1623672.0,16338.0,3979773.0,407981.058,40.79810582161345
7,SVK,Slovakia,2022-03-05,2190599.0,18663.0,5449270.0,401998.616,40.19986163284256
8,SYC,Seychelles,2022-03-05,39427.0,163.0,98910.0,398614.902,39.86149024365585
9,ISR,Israel,2022-03-05,3669112.0,10274.0,9291000.0,394910.343,39.491034334302014
10,NLD,Netherlands,2022-03-05,6734097.0,21714.0,17173094.0,392130.678,39.21306783739727
11,EST,Estonia,2022-03-05,514067.0,2290.0,1325188.0,387920.054,38.79200536074882
12,ISL,Iceland,2022-03-05,140929.0,68.0,368792.0,382136.814,38.213681424759756
13,LVA,Latvia,2022-03-05,697548.0,5348.0,1866934.0,373632.919,37.36329189998146
14,CYP,Cyprus,2022-03-05,331508.0,875.0,896005.0,369984.542,36.99845424969727
15,MNE,Montenegro,2022-03-05,230887.0,2685.0,628051.0,367624.604,36.76246037344101
16,LTU,Lithuania,2022-03-05,928612.0,8503.0,2689862.0,345226.632,34.5226632444341
17,FRA,France,2022-03-05,23064766.0,139312.0,67422000.0,342095.547,34.20955474474207
18,CZE,Czechia,2022-03-05,3624937.0,38892.0,10724553.0,338003.551,33.800355129020296
19,LIE,Liechtenstein,2022-03-05,12833.0,78.0,38254.0,335468.186,33.54681863334553
